o,sigma_objeto,i,sigma_imagem
29.52,0.05,82.93,0.05
25.49,0.05,86.95,0.05
20.51,0.05,93.00,0.05
15.5,0.05,98.53,0.05
10.51,0.05,109.35,0.05
9.52,0.05,113.7,0.05
8.21,0.05,122.85,0.05
40.48,0.05,78.9,0.05
38.87,0.05,78.8,0.05
37.55,0.05,80.25,0.05
36.91,0.05,81.00,0.05
35.92,0.05,81.15,0.05
35.02,0.05,81.00,0.05
28.49,0.05,84.0,0.05
23.85,0.05,87.6,0.05
19.51,0.05,91.6,0.05
16.21,0.05,97.4,0.05
12.94,0.05,102.9,0.05
10.51,0.05,110.4,0.05
31.61,0.05,82.2,0.05
27.22,0.05,85.5,0.05
34.33,0.05,82.15,0.05
17.26,0.05,95.1,0.05
7.69,0.05,124.4,0.05
8.65,0.05,118.71,0.05
